,date,open,high,low,close,volume,close_rel,model_signal,bh_signal,sh_signal
13586,2004-01-02,1111.9200440000004,1118.849976,1105.079956,1108.47998,1153200000,1.0,0,1,-1
13587,2004-01-05,1108.47998,1122.219971,1108.47998,1122.219971,1578200000,1.0123953442984148,0,1,-1
13588,2004-01-06,1122.219971,1124.459961,1118.439941,1123.670044,1494500000,1.0012921468495235,0,1,-1
13589,2004-01-07,1123.670044,1126.329956,1116.449951,1126.329956,1704900000,1.002367164644286,0,1,-1
13590,2004-01-08,1126.329956,1131.920044,1124.910034,1131.920044,1868400000,1.004963099818327,0,1,-1
13591,2004-01-09,1131.920044,1131.920044,1120.900024,1121.859985,1720700000,0.9911123943309198,0,1,-1
13592,2004-01-12,1121.859985,1127.8499759999995,1120.900024,1127.22998,1510200000,1.0047866891339385,0,1,-1
13593,2004-01-13,1127.22998,1129.069946,1115.189941,1121.219971,1595900000,0.9946683382214514,0,1,-1
13594,2004-01-14,1121.219971,1130.75,1121.219971,1130.52002,1514600000,1.008294580225596,0,1,-1
13595,2004-01-15,1130.52002,1137.109985,1124.540039,1132.050049,1695000000,1.0013533851439447,0,1,-1
13596,2004-01-16,1132.050049,1139.829956,1132.050049,1139.829956,1721100000,1.006872405514997,0,1,-1
13597,2004-01-20,1139.829956,1142.930054,1135.400024,1138.77002,1698200000,0.999070092872695,0,1,-1
13598,2004-01-21,1138.77002,1149.209961,1134.619995,1147.619995,1757600000,1.0077715208905833,0,1,-1
13599,2004-01-22,1147.6199950000002,1150.51001,1143.01001,1143.939941,1693700000,0.9967933165890858,0,1,-1
13600,2004-01-23,1143.939941,1150.310059,1136.849976,1141.550049,1561200000,0.9979108238865136,0,1,-1
13601,2004-01-26,1141.550049,1155.380005,1141.0,1155.369995,1480600000,1.0121062988102068,0,1,-1
13602,2004-01-27,1155.369995,1155.369995,1144.050049,1144.050049,1673100000,0.9902023195608433,0,1,-1
13603,2004-01-28,1144.050049,1149.1400149999995,1126.5,1128.47998,1842000000,0.9863903952334869,0,1,-1
13604,2004-01-29,1128.47998,1134.390015,1122.380005,1134.109985,1921900000,1.0049890162872008,0,1,-1
13605,2004-01-30,1134.109985,1134.170044,1127.72998,1131.130005,1635000000,0.99737240652193,0,1,-1
13606,2004-02-02,1131.130005,1142.449951,1127.869995,1135.26001,1599200000,1.0036512204448154,0,1,-1
13607,2004-02-03,1135.26001,1137.439941,1131.329956,1136.030029,1476900000,1.0006782754551533,0,1,-1
13608,2004-02-04,1136.030029,1136.030029,1124.73999,1126.52002,1634800000,0.9916287344900809,0,1,-1
13609,2004-02-05,1126.52002,1131.170044,1124.439941,1128.589966,1566600000,1.0018374693420895,0,1,-1
13610,2004-02-06,1128.589966,1142.790039,1128.390015,1142.76001,1477600000,1.0125555289581583,0,1,-1
13611,2004-02-09,1142.76001,1144.459961,1139.209961,1139.810059,1303500000,0.9974185734763329,0,1,-1
13612,2004-02-10,1139.810059,1147.02002,1138.699951,1145.540039,1403900000,1.0050271358414113,0,1,-1
13613,2004-02-11,1145.540039,1158.890015,1142.329956,1157.76001,1699300000,1.0106674324632663,0,1,-1
13614,2004-02-12,1157.76001,1157.76001,1151.439941,1152.109985,1464300000,0.9951198651264523,0,1,-1
13615,2004-02-13,1152.109985,1156.880005,1143.23999,1145.810059,1329200000,0.9945318362985978,0,1,-1
13616,2004-02-17,1145.810059,1158.9799799999996,1145.810059,1156.98999,1396500000,1.0097572288811614,0,1,-1
13617,2004-02-18,1156.98999,1157.4000239999998,1149.540039,1151.819946,1382400000,0.9955314704148823,0,1,-1
13618,2004-02-19,1151.819946,1158.569946,1146.849976,1147.060059,1562800000,0.9958675077502086,0,1,-1
13619,2004-02-20,1147.060059,1149.810059,1139.0,1144.109985,1479600000,0.9974281433854721,0,1,-1
13620,2004-02-23,1144.109985,1146.689941,1136.97998,1140.98999,1380400000,0.9972729938197331,0,1,-1
13621,2004-02-24,1140.98999,1144.540039,1134.430054,1139.089966,1543600000,0.9983347583969602,0,1,-1
13622,2004-02-25,1139.089966,1145.23999,1138.959961,1143.670044,1360700000,1.0040208220041507,0,1,-1
13623,2004-02-26,1143.670044,1147.22998,1138.619995,1144.910034,1383900000,1.0010842200567422,0,1,-1
13624,2004-02-27,1145.800049,1151.680054,1141.800049,1144.939941,1540400000,1.0000261217031137,0,1,-1
13625,2004-03-01,1144.939941,1157.449951,1144.939941,1155.969971,1497100000,1.0096337192939275,0,1,-1
13626,2004-03-02,1155.969971,1156.5400389999998,1147.310059,1149.099976,1476000000,0.9940569433702011,0,1,-1
13627,2004-03-03,1149.099976,1152.439941,1143.780029,1151.030029,1334500000,1.0016796214779489,0,1,-1
13628,2004-03-04,1151.030029,1154.969971,1149.810059,1154.869995,1265800000,1.0033361127887654,0,1,-1
13629,2004-03-05,1154.869995,1163.22998,1148.77002,1156.859985,1398200000,1.001723129017652,0,1,-1
13630,2004-03-08,1156.859985,1159.939941,1146.969971,1147.199951,1254400000,0.9916497811962958,0,1,-1
13631,2004-03-09,1147.1999509999996,1147.319946,1136.839966,1140.579956,1499400000,0.9942294322849042,0,1,-1
13632,2004-03-10,1140.579956,1141.449951,1122.530029,1123.890015,1648400000,0.9853671450982433,0,1,-1
13633,2004-03-11,1123.890015,1125.959961,1105.869995,1106.780029,1889900000,0.9847761028466829,0,1,-1
13634,2004-03-12,1106.780029,1120.630005,1106.780029,1120.569946,1388500000,1.0124594920749153,0,1,-1
13635,2004-03-15,1120.569946,1120.569946,1103.359985,1104.48999,1600600000,0.985650198760551,0,1,-1
13636,2004-03-16,1104.48999,1113.76001,1102.609985,1110.699951,1500700000,1.0056224692448321,0,1,-1
13637,2004-03-17,1110.699951,1125.76001,1110.699951,1123.75,1490100000,1.0117493918931486,0,1,-1
13638,2004-03-18,1123.75,1125.5,1113.25,1122.319946,1369200000,0.9987274269187987,0,1,-1
13639,2004-03-19,1122.319946,1122.7199710000002,1109.689941,1109.780029,1457400000,0.9888267895044609,0,1,-1
13640,2004-03-22,1109.7800290000002,1109.7800290000002,1089.540039,1095.400024,1452300000,0.9870424727205106,0,1,-1
