,date,open,high,low,close,volume,close_rel,model_signal,bh_signal,sh_signal
16859,2017-01-03,2251.570068,2263.8798829999996,2245.1298829999996,2257.830078,3770530000,1.0,0,1,-1
16860,2017-01-04,2261.600098,2272.820068,2261.600098,2270.75,3764890000,1.0057222738442055,0,1,-1
16861,2017-01-05,2268.179932,2271.5,2260.449951,2269.0,3761820000,0.9992293295166795,0,1,-1
16862,2017-01-06,2271.139893,2282.100098,2264.060059,2276.97998,3339890000,1.003516959012781,0,1,-1
16863,2017-01-09,2273.590088,2275.48999,2268.899902,2268.899902,3217610000,0.9964514057782801,0,1,-1
16864,2017-01-10,2269.719971,2279.27002,2265.27002,2268.899902,3638790000,1.0,0,1,-1
16865,2017-01-11,2268.600098,2275.320068,2260.830078,2275.320068,3620410000,1.0028296382728654,0,1,-1
16866,2017-01-12,2271.139893,2271.780029,2254.25,2270.439941,3462130000,0.9978551909823001,0,1,-1
16867,2017-01-13,2272.73999,2278.679932,2271.51001,2274.639893,3081270000,1.0018498406076093,0,1,-1
16868,2017-01-17,2269.139893,2272.080078,2262.810059,2267.889893,3584990000,0.9970324973105534,0,1,-1
16869,2017-01-18,2269.139893,2272.01001,2263.350098,2271.889893,3315250000,1.0017637540571729,0,1,-1
16870,2017-01-19,2271.899902,2274.330078,2258.409912,2263.689941,3165970000,0.9963906912807416,0,1,-1
16871,2017-01-20,2269.959961,2276.959961,2265.01001,2271.310059,3524970000,1.0033662375142391,0,1,-1
16872,2017-01-23,2267.780029,2271.780029,2257.02002,2265.199951,3152710000,0.9973098749878782,0,1,-1
16873,2017-01-24,2267.8798829999996,2284.6298829999996,2266.679932,2280.070068,3810960000,1.006564593555388,0,1,-1
16874,2017-01-25,2288.8798829999996,2299.550049,2288.8798829999996,2298.3701170000004,3846020000,1.0080260906262641,0,1,-1
16875,2017-01-26,2298.629882999999,2300.98999,2294.080078,2296.679932,3610360000,0.9992646158303665,0,1,-1
16876,2017-01-27,2299.0200199999995,2299.0200199999995,2291.6201170000004,2294.689941,3135890000,0.9991335357738477,0,1,-1
